iter	Passed	Remaining
0	141	141668
1	143	71777
2	145	48352
3	146	36584
4	148	29566
5	149	24807
6	150	21389
7	152	18915
8	154	16980
9	155	15420
10	157	14117
11	158	13069
12	160	12190
13	162	11422
14	164	10774
15	165	10175
16	166	9656
17	168	9177
18	169	8752
19	170	8358
20	171	8006
21	172	7681
22	173	7390
23	175	7127
24	176	6883
25	177	6658
26	178	6442
27	179	6242
28	180	6051
29	181	5871
30	182	5711
31	183	5564
32	185	5421
33	185	5282
34	186	5151
35	187	5029
36	188	4912
37	189	4802
38	190	4697
39	191	4598
40	192	4502
41	193	4409
42	195	4345
43	196	4260
44	196	4180
45	197	4102
46	198	4028
47	199	3957
48	200	3887
49	201	3819
50	201	3755
51	202	3692
52	203	3633
53	204	3578
54	205	3523
55	205	3470
56	206	3417
57	207	3368
58	208	3319
59	209	3274
60	209	3231
61	210	3187
62	211	3144
63	212	3101
64	212	3060
65	213	3020
66	213	2979
67	214	2940
68	215	2904
69	215	2869
70	216	2834
71	217	2799
72	218	2768
73	218	2735
74	219	2701
75	219	2669
76	220	2638
77	220	2609
78	221	2579
79	221	2551
80	222	2523
81	223	2497
82	223	2468
83	224	2443
84	224	2417
85	225	2392
86	225	2368
87	226	2344
88	226	2322
89	227	2302
90	228	2281
91	228	2259
92	229	2240
93	230	2220
94	230	2199
95	231	2179
96	231	2159
97	232	2139
98	233	2122
99	233	2105
100	234	2088
101	235	2072
102	235	2055
103	236	2038
104	237	2021
105	237	2005
106	238	1989
107	238	1972
108	239	1958
109	240	1944
110	241	1930
111	241	1915
112	242	1901
113	242	1887
114	243	1872
115	243	1858
116	244	1844
117	244	1830
118	245	1817
119	246	1806
120	247	1795
121	247	1782
122	248	1770
123	248	1758
124	249	1746
125	250	1734
126	250	1722
127	251	1711
128	251	1701
129	252	1691
130	253	1679
131	253	1669
132	254	1659
133	255	1648
134	255	1638
135	256	1627
136	256	1617
137	257	1607
138	258	1598
139	258	1589
140	259	1580
141	259	1570
142	260	1561
143	261	1552
144	261	1542
145	262	1533
146	262	1524
147	263	1515
148	263	1506
149	264	1498
150	265	1490
151	265	1482
152	266	1473
153	266	1466
154	267	1458
155	268	1451
156	268	1443
157	269	1435
158	269	1428
159	270	1421
160	271	1413
161	271	1406
162	272	1399
163	273	1391
164	273	1384
165	274	1377
166	274	1370
167	275	1363
168	275	1356
169	276	1349
170	277	1343
171	277	1337
172	278	1331
173	279	1325
174	279	1318
175	280	1312
176	280	1305
177	281	1298
178	281	1292
179	282	1286
180	283	1281
181	283	1275
182	284	1270
183	285	1264
184	285	1258
185	286	1252
186	286	1246
187	287	1241
188	287	1235
189	288	1229
190	289	1225
191	290	1220
192	290	1215
193	291	1209
194	291	1204
195	292	1199
196	292	1193
197	293	1188
198	293	1183
199	294	1178
200	295	1173
201	295	1168
202	296	1163
203	297	1159
204	297	1154
205	298	1149
206	298	1145
207	299	1140
208	299	1135
209	300	1130
210	301	1125
211	301	1121
212	302	1117
213	303	1112
214	303	1108
215	304	1104
216	304	1099
217	305	1095
218	305	1090
219	306	1086
220	306	1081
221	307	1077
222	308	1074
223	308	1070
224	309	1066
225	310	1062
226	310	1058
227	311	1054
228	311	1050
229	312	1046
230	313	1042
231	313	1038
232	314	1035
233	315	1031
234	315	1027
235	316	1023
236	316	1019
237	317	1016
238	317	1012
239	318	1008
240	318	1004
241	319	1001
242	320	998
243	321	994
244	321	991
245	322	987
246	322	984
247	323	980
248	323	976
249	324	973
250	324	969
251	325	966
252	326	963
253	327	960
254	327	957
255	328	954
256	329	951
257	329	947
258	330	944
259	330	940
260	331	937
261	331	934
262	332	930
263	332	927
264	333	924
265	334	921
266	334	918
267	335	915
268	335	912
269	336	909
270	336	906
271	337	903
272	338	900
273	339	898
274	339	895
275	340	892
276	340	889
277	341	887
278	342	884
279	342	881
280	343	878
281	343	875
282	344	872
283	345	869
284	345	867
285	346	864
286	346	861
287	347	859
288	348	856
289	348	853
290	349	850
291	349	847
292	350	845
293	350	842
294	351	840
295	352	838
296	352	835
297	353	832
298	354	830
299	354	827
300	355	825
301	355	822
302	356	819
303	356	817
304	357	815
305	358	812
306	359	810
307	359	807
308	360	805
309	360	802
310	361	800
311	361	797
312	362	795
313	362	792
314	363	790
315	364	788
316	365	786
317	365	784
318	366	782
319	367	780
320	367	777
321	368	775
322	368	773
323	369	771
324	370	769
325	371	768
326	372	766
327	372	764
328	373	761
329	374	759
330	374	757
331	375	755
332	376	753
333	376	751
334	377	749
335	378	747
336	378	744
337	379	742
338	379	740
339	380	738
340	380	735
341	381	733
342	381	731
343	382	729
344	383	727
345	384	726
346	384	723
347	385	721
348	385	719
349	386	717
350	386	714
351	387	712
352	387	710
353	388	709
354	389	707
355	389	705
356	390	703
357	391	701
358	391	699
359	392	697
360	392	695
361	393	693
362	395	693
363	396	691
364	396	690
365	397	688
366	398	686
367	398	684
368	399	682
369	399	680
370	400	678
371	401	677
372	401	675
373	402	673
374	403	672
375	403	670
376	404	668
377	404	666
378	405	664
379	406	663
380	407	661
381	407	659
382	408	658
383	409	656
384	409	654
385	410	652
386	410	650
387	411	648
388	411	646
389	412	645
390	412	643
391	413	641
392	414	639
393	414	637
394	415	636
395	415	634
396	416	632
397	417	630
398	417	629
399	418	627
400	418	625
401	419	624
402	420	622
403	420	620
404	421	619
405	422	617
406	422	615
407	423	614
408	423	612
409	424	610
410	424	609
411	425	607
412	426	605
413	426	603
414	427	602
415	427	600
416	428	598
417	428	597
418	429	595
419	429	593
420	430	592
421	431	590
422	431	588
423	432	587
424	433	585
425	433	584
426	434	582
427	434	581
428	435	579
429	435	577
430	436	576
431	437	574
432	437	573
433	438	571
434	438	569
435	439	568
436	439	566
437	440	565
438	441	563
439	441	562
440	442	560
441	442	559
442	443	557
443	443	555
444	444	554
445	445	553
446	445	551
447	446	549
448	446	548
449	447	546
450	448	545
451	448	543
452	449	542
453	450	541
454	450	539
455	451	538
456	452	537
457	453	536
458	453	534
459	454	533
460	454	531
461	455	530
462	456	529
463	457	528
464	458	527
465	459	526
466	459	524
467	460	523
468	460	521
469	461	520
470	462	519
471	462	517
472	463	516
473	464	514
474	464	513
475	465	512
476	465	510
477	466	509
478	467	508
479	467	506
480	468	505
481	469	504
482	469	502
483	470	501
484	470	499
485	471	498
486	471	497
487	472	495
488	473	494
489	473	492
490	474	491
491	474	490
492	475	488
493	475	487
494	477	486
495	477	485
496	478	484
497	479	483
498	480	481
499	480	480
500	480	479
501	481	477
502	482	476
503	482	475
504	483	474
505	484	473
506	485	471
507	485	470
508	486	469
509	487	467
510	487	466
511	488	465
512	489	464
513	490	463
514	491	462
515	492	461
516	492	460
517	493	459
518	494	458
519	494	456
520	495	455
521	496	454
522	496	452
523	497	451
524	497	450
525	498	449
526	499	448
527	500	447
528	500	446
529	501	444
530	502	443
531	503	442
532	503	441
533	504	440
534	504	438
535	505	437
536	507	437
537	507	436
538	508	434
539	509	433
540	509	432
541	510	431
542	511	430
543	511	428
544	513	428
545	513	427
546	514	426
547	515	424
548	515	423
549	516	422
550	517	421
551	517	420
552	518	418
553	518	417
554	520	417
555	521	416
556	521	414
557	522	413
558	522	412
559	523	411
560	523	409
561	524	408
562	524	407
563	525	406
564	526	405
565	526	404
566	527	402
567	528	401
568	528	400
569	529	399
570	529	397
571	530	396
572	530	395
573	531	394
574	532	393
575	533	392
576	534	391
577	534	390
578	535	389
579	535	387
580	536	386
581	536	385
582	537	384
583	537	383
584	538	382
585	539	380
586	539	379
587	540	378
588	541	377
589	541	376
590	542	375
591	542	374
592	543	372
593	543	371
594	544	370
595	545	369
596	545	368
597	546	367
598	546	366
599	547	364
600	548	363
601	548	362
602	549	361
603	549	360
604	550	359
605	551	358
606	551	357
607	552	356
608	552	354
609	553	353
610	554	352
611	554	351
612	555	350
613	555	349
614	556	348
615	557	347
616	557	346
617	558	345
618	559	344
619	559	343
620	560	342
621	561	341
622	561	340
623	562	338
624	563	337
625	563	336
626	564	335
627	564	334
628	565	333
629	565	332
630	566	331
631	567	330
632	567	329
633	568	328
634	568	326
635	569	325
636	570	324
637	570	323
638	571	322
639	572	321
640	572	320
641	573	319
642	573	318
643	574	317
644	574	316
645	575	315
646	576	314
647	576	313
648	577	312
649	578	311
650	578	310
651	579	309
652	579	308
653	580	306
654	580	305
655	581	304
656	581	303
657	582	302
658	583	301
659	583	300
660	584	299
661	585	298
662	585	297
663	586	296
664	586	295
665	587	294
666	587	293
667	588	292
668	589	291
669	589	290
670	590	289
671	591	288
672	591	287
673	592	286
674	592	285
675	593	284
676	594	283
677	594	282
678	595	281
679	596	280
680	596	279
681	597	278
682	597	277
683	598	276
684	598	275
685	599	274
686	600	273
687	600	272
688	601	271
689	602	270
690	602	269
691	603	268
692	603	267
693	604	266
694	604	265
695	605	264
696	605	263
697	606	262
698	607	261
699	607	260
700	608	259
701	609	258
702	609	257
703	610	256
704	610	255
705	611	254
706	611	253
707	612	252
708	613	251
709	613	250
710	614	249
711	615	248
712	615	247
713	616	246
714	617	245
715	617	244
716	618	243
717	618	243
718	619	242
719	620	241
720	620	240
721	621	239
722	621	238
723	622	237
724	623	236
725	623	235
726	624	234
727	624	233
728	625	232
729	626	231
730	626	230
731	627	229
732	628	228
733	628	227
734	629	226
735	629	225
736	630	224
737	631	224
738	631	223
739	632	222
740	633	221
741	633	220
742	634	219
743	634	218
744	635	217
745	636	216
746	636	215
747	637	214
748	638	213
749	638	212
750	639	211
751	639	210
752	640	210
753	640	209
754	641	208
755	641	207
756	642	206
757	643	205
758	644	204
759	644	203
760	645	202
761	645	201
762	646	200
763	646	199
764	647	198
765	647	197
766	648	197
767	649	196
768	649	195
769	650	194
770	651	193
771	651	192
772	652	191
773	652	190
774	653	189
775	653	188
776	654	187
777	654	186
778	655	185
779	656	185
780	656	184
781	657	183
782	658	182
783	658	181
784	659	180
785	659	179
786	660	178
787	661	177
788	661	176
789	662	176
790	662	175
791	663	174
792	664	173
793	664	172
794	665	171
795	665	170
796	666	169
797	666	168
798	667	167
799	668	167
800	668	166
801	669	165
802	670	164
803	671	163
804	671	162
805	672	161
806	672	160
807	673	159
808	673	159
809	674	158
810	675	157
811	675	156
812	676	155
813	677	154
814	677	153
815	678	152
816	678	152
817	679	151
818	679	150
819	680	149
820	681	148
821	681	147
822	682	146
823	683	145
824	683	145
825	684	144
826	685	143
827	685	142
828	686	141
829	686	140
830	687	139
831	688	138
832	688	138
833	689	137
834	689	136
835	690	135
836	690	134
837	691	133
838	691	132
839	692	131
840	692	131
841	693	130
842	694	129
843	694	128
844	695	127
845	696	126
846	696	125
847	697	124
848	697	124
849	698	123
850	698	122
851	699	121
852	700	120
853	700	119
854	701	118
855	702	118
856	702	117
857	703	116
858	703	115
859	704	114
